# task	episode_id	arm
handover_bottle	1	auto
handover_bottle	2	auto
handover_bottle	3	auto
handover_bottle	4	auto
handover_bottle	5	auto
stack_cups	0	auto
stack_cups	1	auto
stack_cups	3	auto
stack_cups	4	auto
stack_cups	5	auto
pnp_tray	1	auto
pnp_tray	4	auto
pnp_tray	6	auto
pnp_tray	8	auto
pnp_tray	9	auto
pnp_bread	7	auto
pnp_bread	8	auto
pnp_bread	9	auto
pnp_bread	10	auto
pnp_bread	11	auto
place_bread_basket	23	right
place_bread_basket	37	left
place_bread_basket	40	right
place_bread_basket	52	right
place_bread_basket	54	right
pick_diverse_bottles	0	auto
pick_diverse_bottles	1	auto
pick_diverse_bottles	2	auto
pick_diverse_bottles	4	auto
pick_diverse_bottles	8	auto
